,Airline,Category
457,ZQW Aviation Service GmbH,Fractional/Corporate
458,Royal Brunei Airlines,Major/National/Low Cost
459,FlyViking (Closed),Regional
460,Air Moldova,Major/National/Low Cost
461,Cargolux Italia,Cargo
462,Tunisair,Charter
463,Braathens Regional Airlines (Jet AOC) (Duplicate factfile),Regional
464,EVA Airways,Major/National/Low Cost
465,Nepal Airlines,Major/National/Low Cost
466,GlobeAir,Charter
467,Gulf Air,Legacy
468,Astra Airlines,Regional
469,ImperialJet Europe GmbH,Fractional/Corporate
470,Hawaiian Airlines,Major/National/Low Cost
471,Goldeck-Flug,Fractional/Corporate
472,Hong Hong Express,Major/National/Low Cost
473,Air Seychelles,Major/National/Low Cost
474,Air India,Major/National/Low Cost
475,German Private Jet Group AG,Fractional/Corporate
476,German Private Jet Group AG,Fractional/Corporate
477,Frontier Airlines,Major/National/Low Cost
478,Thomas Cook Airlines (UK) (Closed),Legacy
479,Egypt Air,Major/National/Low Cost
480,Sriwijaya Air,Major/National/Low Cost
481,Croatia Airlines,Major/National/Low Cost
482,AIGLE AZUR (Closed),Major/National/Low Cost
483,ScanWings,Fractional/Corporate
484,Adria Airways,Major/National/Low Cost
485,XL Airways France,Charter
486, Luxaviation Belgium,Fractional/Corporate
487,Nesma Airlines,Major/National/Low Cost
488,Nordica (Regional Jet OU),Major/National/Low Cost
489,AIS Airlines,Charter
490,Mesa,Regional
491,Asiana Airlines,Major/National/Low Cost
492,Air Cargo Global,Cargo
493,Bulgarian Air Charter,Charter
494,Air Transat,Charter
495,Ellinair,Regional
496,Titan Airways Ltd,Regional
497,Aeropartner,Fractional/Corporate
498,Airnorth,Regional
499,FlyinGroup,Fractional/Corporate
