URL,Airline,Year,Top/Base,Salary_info,salary,currency,gross-net
https://www.pilotjobsnetwork.com/jobs/Air_Baltic,Air Baltic,2022,CaptMax,Basic pay CPT Lvl 3 6000 after tax. +69eur/hour during night and after 60BH/month. (Expect 80 hours and net salary of 8.000/month avg),,,
https://www.pilotjobsnetwork.com/jobs/Air_Baltic,Air Baltic,2022,CaptMin,Basic pay CPT Lvl 1 5000 after tax. +52eur/hour during night and after 60BH/month. (Expect 80 hours/month and net salary of 7000/month avg),,,
https://www.pilotjobsnetwork.com/jobs/Platoon_Aviation_GmbH,Platoon Aviation GmbH,2022,CaptMax,6000,,,
https://www.pilotjobsnetwork.com/jobs/Platoon_Aviation_GmbH,Platoon Aviation GmbH,2022,CaptMin,7000 â¬ gross,,,
https://www.pilotjobsnetwork.com/jobs/Platoon_Aviation_GmbH,Platoon Aviation GmbH,2022,CaptMax,6000,,,
https://www.pilotjobsnetwork.com/jobs/Platoon_Aviation_GmbH,Platoon Aviation GmbH,2022,CaptMin,7000 â¬ gross,,,
https://www.pilotjobsnetwork.com/jobs/Chair_Airlines,Chair Airlines,2018,CaptMax,9800 CHF (Before tax),,,
https://www.pilotjobsnetwork.com/jobs/Chair_Airlines,Chair Airlines,2018,CaptMin,8000 CHF (Before tax),,,
https://www.pilotjobsnetwork.com/jobs/European_Cargo,European Cargo,2022,CaptMax,650GBP per day of work,,,
https://www.pilotjobsnetwork.com/jobs/European_Cargo,European Cargo,2022,CaptMin,650GBP per day of work,,,
https://www.pilotjobsnetwork.com/jobs/German_Airways,German Airways,2020,CaptMax,"Captains will receive a monthly salary of Ã¢âÂ¬4,500 with a guaranteed 60 BH a month.",,,
https://www.pilotjobsnetwork.com/jobs/German_Airways,German Airways,2023,CaptMin,Basic salary â¬4500 plus a guaranteed 60 block hours per month.,,,
https://www.pilotjobsnetwork.com/jobs/French_Bee,French Bee,2019,CaptMax,"8500 ( 9500 LTC, 10K TRI/TRE )Ã¢âÂ¬",,,
https://www.pilotjobsnetwork.com/jobs/French_Bee,French Bee,2020,CaptMin,6200Ã¢âÂ¬ full payment in France,,,
https://www.pilotjobsnetwork.com/jobs/Air_Macau,Air Macau,2019,CaptMax,115000 monthly,,,
https://www.pilotjobsnetwork.com/jobs/Air_Macau,Air Macau,2020,CaptMin,73500,,,
https://www.pilotjobsnetwork.com/jobs/Bamboo_Airways,Bamboo Airways,2020,CaptMax,5600 USD,,,
https://www.pilotjobsnetwork.com/jobs/Bamboo_Airways,Bamboo Airways,2023,CaptMin,Basic USD4200 Up to 75h - 55/h Above 75h - 71.5/h USD30/sector,,,
https://www.pilotjobsnetwork.com/jobs/DHL_Bahrain,DHL Bahrain,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/DHL_Bahrain,DHL Bahrain,2015,CaptMin,BD 3054,,,
https://www.pilotjobsnetwork.com/jobs/Lufthansa_Cargo,Lufthansa Cargo,2013,CaptMax,225.000EUR/year,,,
https://www.pilotjobsnetwork.com/jobs/Lufthansa_Cargo,Lufthansa Cargo,2013,CaptMin,131.500EUR/year,,,
https://www.pilotjobsnetwork.com/jobs/Air_Atlanta_Icelandic,Air Atlanta Icelandic,2022,CaptMax,Daily fee of 600 USD + 50 USD of per diem and overtime of 39% of your daily per flight hour above 65h,,,
https://www.pilotjobsnetwork.com/jobs/Air_Atlanta_Icelandic,Air Atlanta Icelandic,2022,CaptMin,Daily fee of 400 USD + per diem of 50USD. Overtime of 39% of daily fee per extra hour over 65h,,,
https://www.pilotjobsnetwork.com/jobs/Eisele_Flugdienst_/_e-aviation,Eisele Flugdienst / e-aviation,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Eisele_Flugdienst_/_e-aviation,Eisele Flugdienst / e-aviation,2022,CaptMin,around 3000EUR,,,
https://www.pilotjobsnetwork.com/jobs/DAT_LT,DAT LT,2022,CaptMax,Scale 1: 3500â¬ Scale 2: 3700â¬ (Line Check Comdr) Scale 3: 4000â¬ (TRE/TRI) All Values are Gross TAXES Payed at country of residence.,,,
https://www.pilotjobsnetwork.com/jobs/DAT_LT,DAT LT,2022,CaptMin,As Above,,,
https://www.pilotjobsnetwork.com/jobs/Challenge_Airlines_(BE),Challenge Airlines (BE),2022,CaptMax,6000 eur nett,,,
https://www.pilotjobsnetwork.com/jobs/Challenge_Airlines_(BE),Challenge Airlines (BE),,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/CargoLogicAir_(Closed),CargoLogicAir (Closed),,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/CargoLogicAir_(Closed),CargoLogicAir (Closed),2016,CaptMin,ÃÂ£86.000,,,
https://www.pilotjobsnetwork.com/jobs/Malta_Air_France_/_Ryanair,Malta Air France / Ryanair,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Malta_Air_France_/_Ryanair,Malta Air France / Ryanair,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/Cargolux,Cargolux,2022,CaptMax,"After 31 years: 17955 EUR x 13 = 233427 EUR. Additional tax free duty supplements, a yearly bonus and per diems are paid on top.",,,
https://www.pilotjobsnetwork.com/jobs/Cargolux,Cargolux,2022,CaptMin,"1. Year: 11540 EUR x 13 = 150022 EUR. Prior salary steps as a F/O in the company are taken into account, i.e. a freshly upgraded Captain will enter the same salary time unit they had as a F/O (10th F/O salary stage -> 10th Captain salary stage). Additional tax free duty supplements, a yearly bonus and per diems are paid on top.",,,
https://www.pilotjobsnetwork.com/jobs/FLY7,FLY7,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/FLY7,FLY7,2021,CaptMin,7500CH,,,
https://www.pilotjobsnetwork.com/jobs/Silver_Cloud_Air,Silver Cloud Air,2018,CaptMax,6500,,,
https://www.pilotjobsnetwork.com/jobs/Silver_Cloud_Air,Silver Cloud Air,2020,CaptMin,5000-6000,,,
https://www.pilotjobsnetwork.com/jobs/SunExpress,SunExpress,2022,CaptMax,5760,,,
https://www.pilotjobsnetwork.com/jobs/SunExpress,SunExpress,2022,CaptMin,4800,,,
https://www.pilotjobsnetwork.com/jobs/Air_France,Air France,2022,CaptMax,15000 (with seniority long haul captain),,,
https://www.pilotjobsnetwork.com/jobs/Air_France,Air France,2022,CaptMin,8500 year one captain,,,
https://www.pilotjobsnetwork.com/jobs/Aerologic,Aerologic,2022,CaptMax,"207.936,72",,,
